Сирники зі зеленню,200,516,37.8,36.4,24.4
Запіканка з броколі,200,200,18,6.8,6.4
Авокадо смажене,200,320,3.2,12,26.2
Сендвіч з грибною начинкою,150,360,16.14,37.11,15.88
Сарделька,100,143,15.4,0.1,9
Шакшука з нутом,250,800,27.5,155,10
Мафін з родзинками,30,116,1.53,15.95,6.21
Млинець з сиром та полуницею,200,150,24.7,14.4,31.5
Желе,160,129,3.04,29.28,0
Ковбаски мисливські,130,620,23.4,0,58.5
Яйце варене,150,228,19.5,1.68,15.91
Хумус,100,234,11,14,15
Яблуко печене,150,75,0.6,14.7,0.6
Яєчня з овочами,150,204,12.75,3.75,12.9
Шарлотка з яблуком,150,313,6.75,62.25,3.9
Яблука в тісті,150,330,4.95,54.15,12
Чіа-пудинг з фруктами,150,111,3.64,11,5.65
Сир домашній зі сметаною,150,240,25.05,3,14.25
Чіа-пудинг з сухофруктами,150,166.5,5.66,16.5,8.475
Чіа-пудинг з кульками,150,166.5,5.66,16.5,8.475
Французькі тости,150,366,12.9,46.2,14.15
Тост з шоколадом,150,468,10.8,77.4,12
Тост з арахісовою пастою,150,315,8.4,22.35,14.1
Торт шоколадний з млинців,150,279.75,3.6,47.4,8.55
Торт вафельний,150,501,12.6,90.3,10.05
Сухий сніданок,150,587,13.2,110.4,7.2
Сосиски,150,382,16.5,0.7,34.5
Англійський сніданок,150,504,17,47,27
Карамелізовані банани,150,500,10,54,27
Сирнички з сметаною,150,282,14.51,19.35,16.5
Сирнички зі згущеним молоком,150,282,14.51,19.35,16.5
Сирнички з морквою,150,132,18.48,9.36,2.17
Сирнички бананові,150,132,18.48,9.36,2.17
Сендвіч з шинкою,150,212,8.25,12.75,9.75
Сендвіч з сиром,150,212,8.25,12.75,9.75
Сендвіч з сиром та шинкою,150,354,16.5,25.5,19.5
Сендвіч з ростбіфом,150,376.5,29.61,28.695,14.88
Сендвіч з куркою,150,360,16.14,37.11,15.88
Салат фруктовий,150,75,1.05,17.25,0.15
Десерт сабайон,150,327,15.9,5.7,25.8
Пудинг манний,150,183,4.65,24.6,7.2
Каша рисова на молоці,150,214,6,40.5,3.75
Пудинг ванільний,150,146,4.5,25.5,2.7
Пончики сирні зі згущеним молоком,150,303,9.3,37.8,12.3
Пластівці вівсяні з молоком,150,155,4.35,23.85,2.85
Панкейки з бананом та шоколадом,150,330,7.5,22.5,24
Омлет,150,262,18,2.25,19.5
Омлет зі щавлем,150,262,18,2.25,19.5
Омлет зі шпинатом,150,262,18,2.25,19.5
Омлет з сосисками,150,165,11.4,3.9,12.3
Оладки,150,289,7.5,48.9,7.35
Оладки яблучні,150,229,9.03,34.24,6.05
Оладки з чорницею,150,229,9.03,34.24,6.05
Оладки з ревенем,150,229,9.03,34.24,6.05
Налисники з солодким сиром,150,289,14.85,38.4,8.67
Оладки грушеві,150,229,9.03,34.24,6.05
Млинці шоколадні з сиром,150,286,13.35,34.05,9.3
Налисники з капустою,150,231,6,12,18
Млинці з яблуком,200,277,7.8,51.45,4.5
Млинці зі шпинатом та сиром,150,247,14.4,31.5,6.3
Налисники з сиром,150,247,14.4,31.5,6.3
Млинці з шоколадом,150,277,7.8,51.45,4.5
Млинці з сиром та родзинками,150,247,14.4,31.5,6.3
Млинці з сиром та смородиною,150,247,14.4,31.5,6.3
Млинці з куркою,150,193,16.08,16.86,6.6
