Баклажани мухаммара,250,330,2.5,22.5,20
Баклажани смажені в клярі,250,330,2.5,22.5,20
Баклажани запечені з помідорами,250,220,15,12,15
Баклажани запечені з сиром,250,220,15,12,15
Баклажани запечені,250,73,3.45,11,0.5
Баклажани смажені по-корейськи,250,330,2.5,22.5,20
Баклажани тушковані з грибами,250,92,2.5,12.5,4.25
Боби тушковані в сметані,250,597,32.5,80,17.5
Броколі гриль з горіхом,250,140,18,24.5,6
Броколі під сирним соусом,250,370,25.5,6.5,13
Брюсельська капуста на пару,250,128,13.25,18.5,0
Булгур з маслом,250,368,9.75,60,10.75
Булгур з овочами,250,352,7.5,59,7.5
Буряк запечений з гарбузом,250,295,9.575,54.875,0.2
Гарбуз тушкований в сметані,250,190,3.5,13.75,13
Гарбуз гриль,250,190,3.5,13.75,13
Гарбуз тушкований з беконом,250,295,9.575,54.875,0.2
Гарбуз тушкований з квасолею,250,295,9.575,54.875,0.2
Гарбуз тушкований з нутом,250,295,9.575,54.875,0.2
Гарбуз печений,250,65,5.5,9.5,0
Гарбузове пюре,250,84,1.8,17.5,0.17
Гливи в томатному соусі,250,151.5,9.97,17.37,3.12
Гливи з овочами,250,151.5,9.97,17.37,3.12
Гливи смажені,250,170,7.75,7,11.5
Пюре з зеленого горошку,250,182.5,15,35,0.5
Горохове пюре,250,291,16.62,42.5,7.5
Горошок зелений,250,238,15.9,32.33,1.1
Гречка,250,263,8.45,49.85,1.55
Гречка з грибами,250,315,7.5,50,7.5
Гриби запечені з травами,250,352,16,27,24.5
Гриби у вершковому соусі,250,202,8.76,12.5,16.25
Деруни з кабачків,250,277.5,9.2,34.375,13.525
Запіканка з броколі,250,250,22.5,8.5,14.25
Кабачки гриль,250,123,2.75,15.5,5.25
Кабачки з грибами,250,123,2.75,15.5,5.25
Кабачки запечені з баклажанами,250,260,8.075,39.375,17.75
Кабачки запечені з помідорами,250,162.5,5.5,15.75,7.5
Кабачки смажені в клярі,250,218,2.65,10.18,15.25
Кабачки тушені з помідором,250,165,1.75,11.75,12.5
Кальмари з овочами,250,298,38.38,25.73,4.58
Капоната з баклажанми,250,180,3.17,17,12.5
Капуста тушкована,250,172,4.33,12.28,7.83
Капуста тушкована з грибами,250,137,5,20.75,3.35
Капуста цвітна варена,250,72,5,9.43,0.7
Капуста цвітна гриль,250,72,5,9.43,0.7
Капуста цвітна під сиром,250,213,14.57,7.38,13.9
Капуста цвітна смажена,250,549,12.88,10,32.38
Капуста червона тушкована з апельсином,250,549,12.88,10,32.38
Карі з гарбуза,250,288,1.75,50.5,8
Карі овочеве,250,919,115,65,18.75
Картопля смажена з грибами,250,285,9.75,31.75,13
Картопля варена,250,211,4.25,46.5,0.25
Картопля варена зі сметаною,250,175,3.83,22.07,3.8
Картопля печена з томатним соусом,250,227,6.25,47.5,0.25
Картопля печена,250,227,6.25,47.5,0.25
Картопля печена з розмарином,250,350,6.28,50.6,13.62
Картопляне пюре,250,221,4.5,47.5,1.25
Картопля смажена з огірком,250,368,5.75,57.75,12.5
Картопля смажена,250,368,5.75,57.75,12.5
Картопля тушкована у вершках,250,175,3.83,22.02,3.8
Картопля фрі,250,687,9.75,87.5,31.25
Каша кукурудзяна,250,241,8.2,52.5,1.25
Каша кукурудзяна з сиром фета,250,585,15.75,23,47
Каша кукурудзяна з смаженою цибулею,250,585,15.75,23,47
Каша кукурудзяна з шкварками,250,585,15.75,23,47
Каша пшенична,250,263,9.5,51.75,1
Каша пшенична з смаженою цибулею,250,585,15.75,23,47
Каша ячна з овочами,250,139,4.35,28.5,0.57
Каша ячна,250,139,4.35,28.5,0.57
Квасолеве пюре,250,315,20.67,53.7,1.43
Квасоля в сметані,250,597,32.5,80,17.5
Квасоля стручкова зелена,250,99,5,15,0.5
Квасоля червона тушкована в томаті,250,362,22.5,64,2
Чилі з квасолею,250,255,17.5,42.25,1.25
Кнедлі в томатному соусі,250,372,41.58,26.5,12.55
Кнедлі з маслом,250,372,41.58,26.5,12.55
Крокети картопляні,250,485,10.25,55.25,25.75
Кукурудза смажена з маслом,250,355,7,35.5,18.75
Кукурудза варена,250,252,7.75,46.25,2.75
Кус-кус з овочами,250,320,9.35,50,7.5
Кус-кус,250,280,9.5,54.5,1.43
Лобіо з грибами,250,157.25,10.825,23.5,2.5
Макарони з маслом,250,380,7.5,57.5,13.75
Макарони з песто,250,825,14.75,81.725,23.55
Макарони запечені з сиром,250,258,14,7.5,17.75
Макарони з томатним соусом,250,173,8.6,3.83,14.25
Міні-морква в сметані,250,118.52,3.65,14.68,5.05
Морквяне пюре,250,175,7.25,4.25,1.25
Морква з зеленим горошком у соусі,250,262,6.75,16.23,17.15
Морква запечена,250,101,3.25,17.25,0.25
Нут з грибами,250,135,7.97,20.65,2.68
Нут зі шпинатом,250,275.7,22.37805,37.325,7.75
Овочеве рагу,250,244,3.25,13.5,15.25
Овочевий рататуй,250,111,2.75,18.2,2.87
Овочі в сметані,250,154,3,3.625,10.325
Овочі гриль,250,103,4.08,11.5,5
Овочі зимові гриль,250,103,4.08,11.5,5
Овочі на пару,250,73,5.25,10,0.5
Овочі печені з фетою,250,200.5,8.75,17,10.5
Овочі припущені в соусі,250,267.5,7.25,33.875,12
