Вінегрет,130,99,2.21,8.84,6.37
Гливи мариновані,130,60,2.91,9.48,1.47
Ікра з баклажанів,130,138,1.69,8.32,11.7
Кабачки по-корейськи,130,65,1.3,5.2,3.9
Крижавки,130,41,2.34,7.61,0.13
Морква по-корейськи,130,146,1.56,11.7,10.66
Паста-салат з шинкою,130,137,6.5,10.4,3.9
Печериці мариновані,130,33,1.56,6.37,0.13
Помідори по-корейськи,130,190,5.72,5.72,16.12
Салат азіатський з куркою,130,86,12.01,5.49,0.65
Салат з буряка з часником,130,275,9.23,10.14,22.23
Буряк по-корейськи,130,126,1.69,12.09,3.9
Салат з буряка з чорносливом,130,270,3.16,16.54,21.42
Салат весняний,130,27,1.04,4.16,0.26
Салат грецький,130,131,4.58,5.2,9.1
Салат з баклажанів з сиром фета,130,124,2.6,11.57,7.41
Салат з буряка з олією,130,85,2.35,12.91,2.61
Салат з буряка з сиром фета,130,275,9.23,10.14,22.23
Салат з в'яленими томатами,130,419.9,21.32,40.82,19.24
Салат з гарбуза та квасолі,130,181.5,8.06,4.36,6.96
Салат з гарбуза та хурми,130,95,1.17,4.94,7.93
Салат з горіховою пастою,130,270,3.16,16.54,21.42
Салат з дайкону,130,63.96,1.56,1.95,49.4
Салат з домашнього сиру з редискою,130,166,8.97,3.69,12.61
Салат з домашнього сиру з огірками,130,191,17.68,11.31,8.06
Салат з капусти з кукурудзою,130,81,1.85,9.97,4.39
Салат з капусти з кунжутом,130,84,1.04,10.14,4.68
Салат з капусти з сухариками,130,84,1.04,10.14,4.68
Салат з капусти і буряка,130,91,2.47,5.98,6.5
Салат з капусти та дайкону,130,34.06,2.34,1.17,3.51
Салат з капусти та грибів,130,91,5.07,22.88,5.59
Салат з капусти та огірків,130,55,1.69,6.89,2.21
Салат з капусти та помідорів,130,88,1.87,4.99,5.15
Салат з капусти з кропом,130,84,1.04,10.14,4.68
Салат з квасолі,130,53,35.1,49.79,2.92
Салат з квашенини,130,116,2,12.44,6.49
Салат з кореня селери,130,57,1.74,9.54,0.38
Салат з куркою та листям салату,130,146,15.6,6.5,6.5
Салат з молодих овочів,130,191,8.32,9.49,13.65
Салат з моркви та горошку,130,78,1.66,8.06,4.07
Салат з морської капусти,130,52,0.78,3.77,3.12
Салат з нуту,130,176,8.54,15.22,9.2
Салат з огірків з сиром фета,130,74,1.43,4.16,5.85
Салат з огірків з часником,130,74,1.43,4.16,5.85
Салат з перепелиними яйцями,130,96,9.1,2.73,5.46
Салат з персика та сиру,130,72,5.84,6.19,2.9
Салат з печених овочів,130,74,2.6,7.8,3.9
Салат з редиски з яйцем,130,190,29.9,3.51,6.37
Салат з редиски та огірків,130,166,8.97,3.69,12.61
Салат з рисової локшини,130,473.2,4.47,106.13,0.73
Салат з серцем,130,126,9.75,5.46,7.54
Салат з сиром моцарела,130,166,8.97,3.69,12.61
Салат з стручкової квасолі та сиром,130,91,4.38,7.4,5.19
Салат зі стручкової квасолі з сиром фета,130,91,4.38,7.4,5.19
Салат з тунцем,130,129,11.7,9.36,2.6
Салат з червоної капусти,130,84,1.04,10.14,4.68
Салат з червоної капусти з сиром фета,130,90,5.33,5.98,4.94
Салат з черемші і огірків,130,74,1.04,3.38,6.24
Салат з чорної редьки,130,71.24,2.47,9.23,2.99
Салат овочевий з шинкою,130,266.5,15.34,3.64,21.45
Салат зі шпинату та помідорів,130,173,13,4.41,12.04
Салат зі шпинату з ягодами,130,173,13,4.41,12.04
Салат зимовий,130,44,1.82,8.45,0.13
Салат з буряка та горошку,130,135,11.38,5.95,7.33
Салат з кавуна з маринованою цибулею,130,217,15.07,2.59,16.35
Салат з кавуна з фісташками,130,78,3.25,7.8,4.03
Салат з капусти та моркви,130,78,1.66,8.06,4.07
Салат з капусти з селерою,130,114,0,13.52,8.06
Капустяний мікс,130,94,2.47,9.1,5.85
Салат з картоплі та оселедця,130,121,4.36,13.35,5.63
Салат з квашенини з грибами,130,73,2.51,7.22,3.91
Мариновані оливки,130,175,2.47,11.31,12.09
Салат з домашнього сиру з помідорами,130,191,17.68,11.31,8.06
Салат з моркви та яблук,130,67,1.04,13,0.52
Салат з морської капусти та моркви,130,65,2.6,9.1,10.4
Салат ніжинський,130,78,1.56,9.1,4.3
Салат овочевий з льоном,130,74,2.6,7.8,3.9
Салат овочевий з олією,130,74,2.6,7.8,3.9
Салат овочевий з черемшою,130,74,2.6,7.8,3.9
Салат овочевий зі сметаною,130,47,2.08,7.02,1.04
Олів'є,130,111,8.32,10.4,4.81
Оселедець з цибулею,130,523,14.3,1.04,52
Салат з полуниці з базиліком,130,45,1.03,8.01,0.48
Салат з помідорів з базиліком,130,190,5.72,5.72,16.12
Салат з помідорів з кукурудзою,130,190,5.72,5.72,16.12
Салат з селери та яблук,130,70,2.6,9.62,2.6
Салат табулє,130,166,8.32,18.72,6.37
Цезар,130,152,9.62,5.98,9.49
Салат зі шпинату з малиновим соусом,130,38,3.25,3.95,0.47
Оселедець під шубою,130,256,7.57,10.17,21.19
Салат з щавлю та помідорів,130,260,2.99,7.54,24.44
Салат з щавлю та капусти,130,260,2.99,7.54,24.44
Салат з щавлю та огірків,130,260,2.99,7.54,24.44
Салат з щавлю та редиски,130,260,2.99,7.54,24.44
Торт печінковий,130,221,19.07,4.94,13.78
Форшмак,130,265,14.3,7.02,20.15
Салат шуба,120,260,8.04,30,9.84
Салат з моркви і сиру,120,86,4.72,8.35,3.71
Салат з шинки та овочів,120,111,6.84,4.08,7.56
Салат з курки та листя салату,120,126,8.18,4.44,4.24
Салат з моркви та огірка,120,68,0.97,3.52,4.92
Кавун з маринованою цибулею,130,217,15.07,2.59,16.35
Салат помідор жовтий та сир,150,86,1.22,4.39,6.15
Салат з соєвої спаржі,150,660,6.9,9,0.3
Кімчі,120,85,1.2,8.4,4.2
