Азу яловиче,200,252,36,0,14
Баклажани тушковані з м'ясом,200,313,3.42,12.24,28.78
Бедра курячі з картоплею та гарбузом,200,298,16,18.2,18.4
Биточок курячий,100,200,20.8,0.4,12.4
Біфштекс з яйцем,100,274,21.5,0.4,20.8
Бургер,200,520,24.68,23.44,37.3
Вареники з вишнею,200,364,9,78.6,1.8
Вареники з картоплею,200,283,10,59.8,3.8
Вареники з солодким сиром,200,467,25.8,63.4,6
Вареники зі смородиною,200,451,10.2,95,2.4
Вареники з чорницею,200,448,10.6,99.2,1
Вареники у фритюрюрі,200,554,24,28,40
Відбивна куряча,200,412,42.6,14.6,19.2
Відбивна по-французьки,200,262,30.6,5.4,13
Відбивна свинна,200,540,34,3.6,42
Галета з гарбузом,200,850,18,122,28
Голубці з гречкою та грибами,200,230,12,38,6
Голубці з картоплею,200,136,3.2,21.4,5.4
Голубці з пшоном та грибами,200,115,4.94,14.4,6.6
Голубці з м'ясом та рисом,200,186,15.52,4.92,11.7
Гомілка індича,100,144,20.1,1.67,8.3
Гомілка куряча запечена,100,216,27,0,11
Гомілка куряча тушкована,100,160,27,0.3,5.6
Гратен картопляний,200,267,9.8,22.4,15.4
Гречаники з грибною підливою,200,366,12.48,55.32,12.26
Гуляш свинний,200,322,30,6,20
Дерун з м'ясом,200,376,10,26,30
Деруни картопляні зі сметаною,200,320,8,32,6
Жарке по-домашньому,200,267,10.6,21.8,16
Жульєн,200,305,17.2,5,24
Запіканка з цибулею порей,200,351,35.2,29.2,8.4
Запіканка з цвітної капусти,200,108,12.5,9.24,2.76
Запіканка з кабачків,200,208,10.8,8.06,13.56
Зраза м'ясна з сиром і яйцем,100,120,7.78,3.53,8.26
Зрази картопляні з грибами,200,260,7.38,38.2,11
Зрази картопляні з капустою,200,261,7.38,38.2,11
Зрази картопляні з м'ясом,200,294,7.6,38,16
Зрази картопляні з сиром фета,200,270,4.72,15.78,13.82
Зрази картопляні з яйцем,200,270,4.72,15.78,13.82
Індичка тушкована в сметані,200,235,28,11.6,8
Індичка тушкована з гарбузом,200,235,28,11.6,8
Індичка тушкована з овочами,200,235,28,11.6,8
Кабачки фаршировані з помідором,200,239,3.66,6.24,21.16
Кабачок фарширований м'ясом,200,318,22,9.4,16.4
Капуста тушкована з м'ясом,200,179,12,14,5.2
Капустяні деруни,200,181,9.2,19.6,7
Карась смажений,200,262,33.4,6,10.8
Картопля в мундирі з грибами,200,183,3,41.2,0.2
Картопля печена з ковбасками,200,160,12.62,18.36,3.64
Катран,100,142,19.9,0,7
Квасоля з фрикадельками,200,556,33.89,12.35,40.22
Кебаб свинний,100,357,14.3,0,33.3
Кебаб курячий,200,331,16.6,25.6,11
Кебаб яловичий,100,135,15,1.5,7.8
Котлета по-київськи,200,580,35.8,6.4,46
Ковбаски мисливські,100,477,18,0,45
Короп смажений з сметанковим соусом,200,362,37,6.4,21
Котлета брізоль,100,236.4,14.24,6.28,17.16
Котлета куряча бургерна,200,492,57.44,9.88,24.36
Котлета з вареного м'яса,100,197,11.2,13.7,10.7
Котлета домашня,200,397,18.2,19.6,27.2
Котлета індича,100,184,16.51,6.89,10.02
Котлета з мішаного фаршу,100,228,18,14,12.5
Котлета свинна з фетою,100,265,15,0.6,22
Котлета з цілим яйцем,100,222,21,13.8,12
Котлета куряча Їжачок,100,222,21,13.8,12
Котлета куряча з овочами на пару,100,135,21.5,4,2
Котлета куряча,110,222,21,13.8,12
Котлета свинна,100,265,15,0.6,22
Котлета свинна на пару,100,220,14.8,1.8,16.6
Котлета з курячого філе,100,107,21,1.2,1.6
Котлета рибна із зеленню,100,172,13,13.3,7.6
Оладки печінкові,100,179,16,15,9.5
Котлета яловича,100,197,11.2,13.7,10.7
Котлета куряча з кабачком і перцем,100,228,12,14,13
Крокети м'ясні,100,257,9.6,23,13
Котлета рибна,100,172,13,13.3,7.6
Котлета рибна з рисом та яйцем,100,124,13,14,2
Крученик свинний з чорносливом,100,279,13.9,22.6,12.2
Крученик курячий з сиром,100,279,13.9,22.6,12.2
Курча гриль,200,482,36.4,0,30.8
Котлета м'ясна з сиром моцарела,200,538,20,11,44
Курка у вершковому соусі,200,278,32.8,4.2,14.4
Крокети курячі з сиром,200,210,40,0,6
Відбивна куряча з грибами,200,202,7.8,32.2,4.4
Крокети рибні,200,410,37.8,1,21.2
Курячі крильця теріякі,200,142,21.4,10.2,1.6
Крученик курячий з грибами,200,558,27.8,45.2,24.4
Кус-кус з куркою,200,697,23.6,144,3
Курка відварна,200,276,60,0,4
Лечо з ковбасками,200,584,20.6,0,56
Карі з куркою,200,250,24.4,4.6,14.4
Млинці з лососем,200,536,22.2,20.6,24.2
Курка фрі,200,449,48,0,25.6
Мусака,200,308,11.26,11.16,18.3
Печінка куряча з грибами у вершках,200,262,38.68,6.76,9.76
Палюшки картопляні,200,344,10,74,1
Курячі нагетси,200,386,25.6,31.6,17.6
Паста з беконом,200,396,19.2,43.4,15.6
Лазанья,200,358,18,26,18
Паста з мідіями,200,718,23.8,152.2,1.6
Мікс ковбасок,200,954,36,0,90
Пастуший пиріг,200,232,19.4,16,10
Мойва,200,301,32,3.6,17.6
Пельмені фрі,200,512,30,34.2,25
Стейк особуко,200,545,56.25,0,36.1
Перець фарширований овочами,200,334,8,18,24
Паприкаш,200,56,2.6,11.2,0.2
Печінка куряча,200,420,61.6,4,17.8
Паста з куркою та овочами,200,274,21.08,38.62,3.72
Пиріжок смажений з картоплею,200,368,8,68,8
Паста з морепродуктами,200,345,26.8,42.2,7.4
Піта з м'ясом,200,310,18.54,31.7,11.9
Пельмені,200,547,28,58.6,23
Піца сирна,200,520,24.96,48.52,24.8
Перець фарширований м'ясом,200,240,10.6,36,6.2
Плов з свининою,200,446,20.5,43.88,17.02
Печінка індича тушкована,200,556,35.58,3.52,34.84
Ребра запечені,200,700,27,0.6,66.8
Пиріжок смажений з капустою,200,538,13.8,88.4,13.8
Риба голець смажена,200,415,26.54,9.66,30.06
Пиріжок смажений з картоплею та грибами,200,368,8,68,8
Риба кефаль,200,210,34,11.6,3
Піца м'ясна,200,707,32,52,26
Скумбрія на пару,200,382,36,0,26.4
Плов з куркою,200,302,17,22,17.26
Риба смажена,200,361,35.8,20.2,20.8
Рагу з куркою та ковбасками,200,170,14,10,8
Риба короп фарширований,200,206,20.96,15.48,6.3
Риба в клярі,200,415,26.54,9.66,30.06
Рибні палички,200,383,26,30.6,17
Риба запечена з сиром,200,230,14.58,1.44,18.54
Рулет з індички з сиром дорблю,200,395,44.6,0,23.2
Риба масляна запечена,200,206,13.6,16.8,9.4
Рулет зі свинини з чорносливом,200,1203,16,0,126.6
Риба по-французьки,200,202,28.2,2.6,8.6
Сардина,200,328,37.6,0,19.8
Риба тушкована з овочами,200,220,28,14.2,7.92
Свинина тушкована з гарбузом,200,470,19.6,6.4,40.6
Хек смажений,200,252,40,5.2,7.26
Серце індиче на грилі,200,296,34.6,0.82,16.6
Рис з овочами та ковбасками,200,172,17.2,19.2,3
Скумбрія печена,200,356,35.58,2.28,23.22
Рулет з курки зі шпинатом,200,324,34.6,19.2,12.2
Сосиска в тісті,200,550,14.8,28.3,41.92
Сарделька,200,365,25.8,4.8,27
Спагетті болоньєзе,200,217,11.4,27.6,6
Свинина тушкована з овочами,200,698,29.8,0,64.4
Спагетті з фрикадельками,200,115,6.6,13,4.4
Свинина тушкована з квасолею,200,698,29.8,0,64.4
Стегно куряче запечене,200,418,52,6,22
Серця курячі тушковані,200,209,17,8,13.3
Стейк з курячого філе,200,220,40,0,6
Скумбрія печена з картоплею,200,356,35.58,2.28,23.22
Тефтелі з свинини з сиром,200,428,25.8,15.6,29
Соте овочеве з куркою,200,15,0.22,1.08,1.26
Тефтелі зі свинини з рисом в соусі,200,428,25.8,15.6,29
Спагетті з рибою,200,444,15.6,68.4,15.6
Фалафель,200,528,27.8,86.6,9.6
Стегно куряче гриль (без кістки),200,418,52,6,22
Фрикадельки рибні на пару,200,250,34,6,10
Стейк з лосося,200,411,40,0.2,32.2
Фрикадельки рибні в томатному соусі,200,250,34,6,10
Стейк зі свинини на кістці,200,545,56.25,0,36.1
Хек смажений,200,252,40,5.2,7.26
Тефтелі з яловичини,200,444,47.2,3.2,27
Цибулеві кільця,200,600,16,60,20
Овочі тушковані з кнедлями,200,43,3,5.8,0.4
Чебурек,200,612,24,46,30
Форель з солодким чилі-соусом,200,462,45,0.02,31.4
Чізбургер,200,608,31.8,60.8,25.4
Фрикадельки рибні у вершковому соусі,200,250,34,6,10
Шинка печена,200,182,32,5,3.6
Хек під овочами,200,192,18.9,7.86,9.68
Шніцель курячий,200,353,36.92,25.5,10.4
Хот-дог,200,372,16.06,36.5,16.78
Деруни з кабачків,200,174,2.12,8.14,12.2
Чанахи з грибами,200,274,13.8,20.5,15
Крученик рибний з грибами,100,191,9.5,3.3,15.1
Чебурек з сиром,200,681,22.2,55.8,41
Котлетки курячі з кабачком і перцем,110,166,18.39,4.73,8.33
Шаурма,200,348,18,28,18
Риба на пару,120,95,22.8,0,0.36
Шлунки курячі тушковані,200,228,36.4,1.2,8.4
Пиріг яворівський,200,488,10.62,58.7,21.8
Янтик з грибами,200,409,25,30.2,20.4
Тефтелі курячі,100,134,17.4,12.4,1.3
Хот-дог,200,372,16.06,36.5,16.78
Соте куряче,200,221,21.6,9.2,10.8
Котлета зі шпинатом,120,274,14.4,16.8,15.6
Ковбаска куряча,100,165,12,0,13
Котлета м'ясна,110,251,19.8,15.4,13.75
Рибні нагетси,150,284,18,24,12.45
Пельмені з курячим м'ясом,200,506,31.2,56.6,12
Соєвий гуляш,200,711,104,35.2,4
Котлета бургерна,110,271,31.59,5.43,13.4
Відбивна з ананасом,120,157,18.36,3.24,7.8
Сир в клярі,100,314,17.12,13.08,19.91
Бургер з рибою,300,495,52.2,0,31.8
Кролик в сметані,100,167,10.4,2.4,12.9
