Борщ з м'ясом,300,231,4.2,27.51,9.21
Борщ пісний,300,87,2.4,15,1.8
Борщок,300,87,2.4,15,1.8
Бульйон з кролика,300,149,20.4,0.51,7.08
Бульйон курячий,300,107,7.56,12,3.6
Гороховий крем суп,300,831,54,141.54,5.46
Індійський томатний суп,300,114,1.44,7.05,7.71
Капусняк,300,165,8.4,21,5.1
Розсольник,300,112,4.5,11.1,3.9
Солянка м'ясна,300,174,6.3,24.6,5.91
Суп вершковий з морепродуктами,300,141,9.96,5.76,6.81
Суп гороховий пісний,300,174,6.3,24.6,5.91
Суп гречаний з м'ясом,300,201,13.8,16.8,10.2
Суп з гливами та овочами,300,110,5.1,12.6,4.8
Суп з кабачками,300,270,18,4.2,22.5
Борщ щавлевий,300,108,4.89,11.85,4.32
Суп з морепродуктами,300,48,9.3,2.1,0.6
Суп з нутом,300,870,54,162,2.7
Суп з пшоном та грибами,300,133,16.2,5.1,54
Крем-суп з сочевиці,300,869,57.3,131.4,12.27
Суп з фрикадельками,300,159,7.5,6,12
Суп з квасолею,300,279,12,37.2,7.5
Суп овочевий,300,110,5.1,12.6,4.8
Суп перловий з грибами,300,144,3.3,23.4,4.5
Суп помідоровий,300,112,2.7,12,6.3
Суп помідоровий з ковбасками,300,205,6,28.8,6.9
Крем-суп грибний,300,150,4.41,21.9,4.5
Крем-суп з броколі,300,110,3,12,3.9
Крем-суп з цвітної капусти,300,128,5.7,19.8,0.6
Харчо,300,280,9.42,15,18.96
Крем-суп цибулевий,300,86,6,9.9,2.1
Суп-пюре з баклажану,300,110,5.1,12.6,4.8
Крем-суп з гарбуза,300,174,2.7,21.57,8.55
Крем-суп зі шпинату,300,150,6,15,6
Суп-пюре морквяний,300,165,5.4,35.1,0.6
Суп-пюре овочевий,300,157,5.4,19.5,4.8
Юшка грибна,300,153,2.4,13.8,10.2
Юшка рибна,300,173,14.4,20.1,4.5
Суп з сочевиці,300,243,8.34,48.33,0.93
Суп гороховий м'ясний,300,165,13.5,18,4.2
Овочеве рагу,300,293,3.9,16.2,18.3
Крем суп з грибів,300,150,4.41,21.9,4.5
Суп із зеленого горошку та копченостями,300,471,12,35.4,31.5
Суп цибулевий,300,86,6,9.9,2.1
Борщ з м'ясом,300,180,8.4,11.4,11.1
Окрошка,300,114,10.2,10.5,3.3
Том ям,300,246,12.84,10.29,16.5
Гаспачо,300,61,2.7,7.5,2.7
Холодник,300,77.7,4.5,7.8,3.6
Суп квасолевий,300,282,16.02,41.49,5.4
Суп гречаний пісний,300,128,9,15,3.6
